bigram,count
customer support,1136
worst app,846
customer care,826
customer service,720
bad experience,527
worst experience,518
delivery partner,515
cancel order,339
worst service,328
ice cream,314
delivery time,286
worst customer,284
delivery boy,277
use app,272
don use,242
bad service,231
support team,229
order delivered,226
experience zepto,224
delivery person,203
poor service,199
placed order,194
delivery app,194
cash delivery,185
don buy,184
worst delivery,175
disappointing experience,169
order zepto,161
bad app,153
don order,147
delivery partners,141
poor quality,139
expired product,139
items missing,133
delivery charges,129
cancelled order,129
ordered items,129
expired products,128
late delivery,125
wrong product,124
multiple times,124
poor customer,124
30 minutes,122
deliver order,122
product delivered,120
app worst,120
pathetic service,119
free delivery,118
fraud app,117
app don,117
